# src   dst   bw(Mbps)
# 水平連線 Row 1
1       2     250
2       3     250
3       4     250
4       5     250
5       6     250
# 水平連線 Row 2
7       8     250
8       9     250
9       10    250
10      11    250
11      12    250
# 水平連線 Row 3
13      14    250
14      15    250
15      16    250
16      17    250
17      18    250
# 水平連線 Row 4
19      20    250
20      21    250
21      22    250
22      23    250
23      24    250
# 水平連線 Row 5
25      26    250
26      27    250
27      28    250
28      29    250
29      30    250
# 水平連線 Row 6
31      32    250
32      33    250
33      34    250
34      35    250
35      36    250
# 垂直連線 Col 1
1       7     250
7       13    250
13      19    250
19      25    250
25      31    250
# 垂直連線 Col 2
2       8     250
8       14    250
14      20    250
20      26    250
26      32    250
# 垂直連線 Col 3
3       9     250
9       15    250
15      21    250
21      27    250
27      33    250
# 垂直連線 Col 4
4       10    250
10      16    250
16      22    250
22      28    250
28      34    250
# 垂直連線 Col 5
5       11    250
11      17    250
17      23    250
23      29    250
29      35    250
# 垂直連線 Col 6
6       12    250
12      18    250
18      24    250
24      30    250
30      36    250
