# src   dst   energy(W)
# 水平連線 Row 1
1       2     0.18
2       3     0.18
3       4     0.18
4       5     0.18
5       6     0.18
6       7     0.18
# 水平連線 Row 2
8       9     0.18
9       10    0.18
10      11    0.18
11      12    0.18
12      13    0.18
13      14    0.18
# 水平連線 Row 3
15      16    0.18
16      17    0.18
17      18    0.18
18      19    0.18
19      20    0.18
20      21    0.18
# 水平連線 Row 4
22      23    0.18
23      24    0.18
24      25    0.18
25      26    0.18
26      27    0.18
27      28    0.18
# 水平連線 Row 5
29      30    0.18
30      31    0.18
31      32    0.18
32      33    0.18
33      34    0.18
34      35    0.18
# 水平連線 Row 6
36      37    0.18
37      38    0.18
38      39    0.18
39      40    0.18
40      41    0.18
41      42    0.18
# 水平連線 Row 7
43      44    0.18
44      45    0.18
45      46    0.18
46      47    0.18
47      48    0.18
48      49    0.18
# 垂直連線 Col 1
1       8     0.18
8       15    0.18
15      22    0.18
22      29    0.18
29      36    0.18
36      43    0.18
# 垂直連線 Col 2
2       9     0.18
9       16    0.18
16      23    0.18
23      30    0.18
30      37    0.18
37      44    0.18
# 垂直連線 Col 3
3       10    0.18
10      17    0.18
17      24    0.18
24      31    0.18
31      38    0.18
38      45    0.18
# 垂直連線 Col 4
4       11    0.18
11      18    0.18
18      25    0.18
25      32    0.18
32      39    0.18
39      46    0.18
# 垂直連線 Col 5
5       12    0.18
12      19    0.18
19      26    0.18
26      33    0.18
33      40    0.18
40      47    0.18
# 垂直連線 Col 6
6       13    0.18
13      20    0.18
20      27    0.18
27      34    0.18
34      41    0.18
41      48    0.18
# 垂直連線 Col 7
7       14    0.18
14      21    0.18
21      28    0.18
28      35    0.18
35      42    0.18
42      49    0.18
