# src   dst   bw(Mbps)
# 水平連線 Row 1
1       2     250
2       3     250
3       4     250
4       5     250
# 水平連線 Row 2
6       7     250
7       8     250
8       9     250
9       10    250
# 水平連線 Row 3
11      12    250
12      13    250
13      14    250
14      15    250
# 水平連線 Row 4
16      17    250
17      18    250
18      19    250
19      20    250
# 水平連線 Row 5
21      22    250
22      23    250
23      24    250
24      25    250
# 垂直連線 Col 1
1       6     250
6       11    250
11      16    250
16      21    250
# 垂直連線 Col 2
2       7     250
7       12    250
12      17    250
17      22    250
# 垂直連線 Col 3
3       8     250
8       13    250
13      18    250
18      23    250
# 垂直連線 Col 4
4       9     250
9       14    250
14      19    250
19      24    250
# 垂直連線 Col 5
5       10    250
10      15    250
15      20    250
20      25    250
