# src   dst   energy(W)
# 水平連線 Row 1
1       2     0.18
2       3     0.18
3       4     0.18
4       5     0.18
# 水平連線 Row 2
6       7     0.18
7       8     0.18
8       9     0.18
9       10    0.18
# 水平連線 Row 3
11      12    0.18
12      13    0.18
13      14    0.18
14      15    0.18
# 水平連線 Row 4
16      17    0.18
17      18    0.18
18      19    0.18
19      20    0.18
# 水平連線 Row 5
21      22    0.18
22      23    0.18
23      24    0.18
24      25    0.18
# 垂直連線 Col 1
1       6     0.18
6       11    0.18
11      16    0.18
16      21    0.18
# 垂直連線 Col 2
2       7     0.18
7       12    0.18
12      17    0.18
17      22    0.18
# 垂直連線 Col 3
3       8     0.18
8       13    0.18
13      18    0.18
18      23    0.18
# 垂直連線 Col 4
4       9     0.18
9       14    0.18
14      19    0.18
19      24    0.18
# 垂直連線 Col 5
5       10    0.18
10      15    0.18
15      20    0.18
20      25    0.18
