batch,count,mean-20,history_avg_hops,total_flows,re_link,re_high_hop,re_low_share,re_high_load,shortest_ratio
1,158,48.8,4.4022,92,0,0,0,0,0.0
2,155,50.24,4.6735,98,0,0,0,0,0.0
3,156,50.66,4.4835,91,0,0,0,0,0.0
4,155,49.56,4.375,88,0,0,0,0,0.0
5,154,49.09,4.4,90,0,0,0,0,0.0
6,156,48.02,4.5773,97,0,0,0,0,0.0
7,156,48.76,4.2759,87,0,0,0,0,0.0
8,154,49.33,4.4674,92,0,0,0,0,0.0
9,154,48.88,4.617,94,0,0,0,0,0.0
10,157,49.89,4.4066,91,0,0,0,0,0.0
11,156,49.54,4.5889,90,0,0,0,0,0.0
12,155,49.88,4.5368,95,0,0,0,0,0.0
13,155,50.53,4.8065,93,0,0,0,0,0.0
14,155,48.55,4.3673,98,0,0,0,0,0.0
15,155,48.96,4.5426,94,0,0,0,0,0.0
