# src   dst   energy(W)  備註
# Core <-> Core (150+150=300)
1       2     0.18       Core-Core
1       3     0.18       Core-Core
1       4     0.18       Core-Core
2       3     0.18       Core-Core
2       4     0.18       Core-Core
3       4     0.18       Core-Core
# Core <-> Distribution (150+80=230)
1       5     0.18       Core-Distribution
1       6     0.18       Core-Distribution
1       7     0.18       Core-Distribution
1       8     0.18       Core-Distribution
1       9     0.18       Core-Distribution
1       10    0.18       Core-Distribution
1       11    0.18       Core-Distribution
1       12    0.18       Core-Distribution
2       5     0.18       Core-Distribution
2       6     0.18       Core-Distribution
2       7     0.18       Core-Distribution
2       8     0.18       Core-Distribution
2       9     0.18       Core-Distribution
2       10    0.18       Core-Distribution
2       11    0.18       Core-Distribution
2       12    0.18       Core-Distribution
3       13    0.18       Core-Distribution
3       14    0.18       Core-Distribution
3       15    0.18       Core-Distribution
3       16    0.18       Core-Distribution
3       17    0.18       Core-Distribution
3       18    0.18       Core-Distribution
4       13    0.18       Core-Distribution
4       14    0.18       Core-Distribution
4       15    0.18       Core-Distribution
4       16    0.18       Core-Distribution
4       17    0.18       Core-Distribution
4       18    0.18       Core-Distribution
# Distribution <-> WAN (80+50=130)
13      19    0.18       Distribution-WAN
13      20    0.18       Distribution-WAN
13      21    0.18       Distribution-WAN
14      19    0.18       Distribution-WAN
14      20    0.18       Distribution-WAN
14      21    0.18       Distribution-WAN
15      22    0.18       Distribution-WAN
15      23    0.18       Distribution-WAN
15      24    0.18       Distribution-WAN
16      22    0.18       Distribution-WAN
16      23    0.18       Distribution-WAN
16      24    0.18       Distribution-WAN
# Distribution <-> Access (80+5=85)
5       25    0.18       Distribution-Access
5       26    0.18       Distribution-Access
5       27    0.18       Distribution-Access
5       28    0.18       Distribution-Access
6       25    0.18       Distribution-Access
6       26    0.18       Distribution-Access
6       27    0.18       Distribution-Access
6       28    0.18       Distribution-Access
7       29    0.18       Distribution-Access
7       30    0.18       Distribution-Access
7       31    0.18       Distribution-Access
7       32    0.18       Distribution-Access
8       29    0.18       Distribution-Access
8       30    0.18       Distribution-Access
8       31    0.18       Distribution-Access
8       32    0.18       Distribution-Access
9       33    0.18       Distribution-Access
9       34    0.18       Distribution-Access
9       35    0.18       Distribution-Access
9       36    0.18       Distribution-Access
10      33    0.18       Distribution-Access
10      34    0.18       Distribution-Access
10      35    0.18       Distribution-Access
10      36    0.18       Distribution-Access
11      37    0.18       Distribution-Access
11      38    0.18       Distribution-Access
11      39    0.18       Distribution-Access
11      40    0.18       Distribution-Access
12      37    0.18       Distribution-Access
12      38    0.18       Distribution-Access
12      39    0.18       Distribution-Access
12      40    0.18       Distribution-Access
17      41    0.18       Distribution-Access
17      42    0.18       Distribution-Access
17      43    0.18       Distribution-Access
17      44    0.18       Distribution-Access
17      45    0.18       Distribution-Access
18      41    0.18       Distribution-Access
18      42    0.18       Distribution-Access
18      43    0.18       Distribution-Access
18      44    0.18       Distribution-Access
18      45    0.18       Distribution-Access
