# src   dst   bw(Mbps)
# 水平連線 Row 1
1       2     250
2       3     250
3       4     250
# 水平連線 Row 2
5       6     250
6       7     250
7       8     250
# 水平連線 Row 3
9       10    250
10      11    250
11      12    250
# 水平連線 Row 4
13      14    250
14      15    250
15      16    250
# 垂直連線 Col 1
1       5     250
5       9     250
9       13    250
# 垂直連線 Col 2
2       6     250
6       10    250
10      14    250
# 垂直連線 Col 3
3       7     250
7       11    250
11      15    250
# 垂直連線 Col 4
4       8     250
8       12    250
12      16    250
